       color1       color2       pixelRatio      Response
       24.00        34.00         705.00         1.00
       24.00        34.00         705.00         1.00
       22.00        32.00         687.00         1.00
       22.00        32.00         687.00         1.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       22.00        17.00        1294.00         1.00
       22.00        17.00        1294.00         1.00
       22.00        17.00        1294.00         1.00
       43.00        32.00        1343.00         1.00
       43.00        32.00        1343.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       64.00        64.00        1000.00         1.00
       64.00        64.00        1000.00         1.00
       64.00        64.00        1000.00         1.00
       59.00        64.00         921.00         1.00
       59.00        64.00         921.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       43.00        34.00        1264.00         1.00
       24.00        34.00         705.00         1.00
       24.00        34.00         705.00         1.00
       24.00        34.00         705.00         1.00
       22.00        16.00        1375.00         1.00
       22.00        16.00        1375.00         1.00
       40.00        32.00        1250.00         1.00
       40.00        32.00        1250.00         1.00
       43.00        32.00        1343.00         1.00
       43.00        32.00        1343.00         1.00
       43.00        32.00        1343.00         1.00
       47.00        51.00         921.00         1.00
       47.00        51.00         921.00         1.00
       64.00        64.00        1000.00         1.00
       64.00        64.00        1000.00         1.00
       64.00        64.00        1000.00         1.00
       64.00        64.00        1000.00         1.00
       64.00        64.00        1000.00         1.00
       59.00        64.00         921.00         1.00
       59.00        64.00         921.00         1.00
       64.00        51.00        1254.00         1.00
       64.00        51.00        1254.00         1.00
       64.00        51.00        1254.00         1.00
       43.00        51.00         843.00         1.00
       43.00        51.00         843.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        64.00         671.00         1.00
       43.00        48.00         895.00         1.00
       43.00        48.00         895.00         1.00
       24.00        34.00         705.00         1.00
       24.00        34.00         705.00         1.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       22.00        34.00         647.00         2.00
       22.00        16.00        1375.00         1.00
       22.00        16.00        1375.00         1.00
       22.00        17.00        1294.00         1.00
       22.00        17.00        1294.00         1.00
       22.00        17.00        1294.00         1.00
       22.00        32.00         687.00         1.00
       22.00        32.00         687.00         1.00
       40.00        34.00        1176.00         1.00
